bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
reversed72_no_forward,core_5,A_to_C_to_B,true_vs_random,-0.25925433862631014,-0.2716282389489839,0.012373900322673758,0.01859628074385123,502
reversed72_no_forward,core_5,A_to_C_to_B,true_vs_performance_matched,-0.25925433862631014,-0.2672290840743936,0.007974745448083463,0.013397320535892822,502
reversed72_no_forward,core_5,B_to_C_to_A,true_vs_balanced,-0.2616552756251098,-0.2671081127602034,0.005452837135093602,0.0007998400319936012,502
reversed72_no_forward,core_5,B_to_C_to_A,true_vs_shuffled_c,-0.2616552756251098,-0.2663998485775654,0.0047445729524556,0.020395920815836834,502
reversed72_no_forward,core_5,B_to_C_to_A,true_vs_phase_rotated,-0.2616552756251098,-0.2676391810464811,0.005983905421371327,0.02519496100779844,502
reversed72_no_forward,core_5,B_to_C_to_A,true_vs_random,-0.2616552756251098,-0.2720915097227252,0.010436234097615429,0.024795040991801638,502
reversed72_no_forward,core_5,B_to_C_to_A,true_vs_performance_matched,-0.2616552756251098,-0.2770521541924247,0.015396878567314892,0.0001999600079984003,502
reversed72_no_forward,no_phase_only,A_to_C_to_B,true_vs_balanced,-0.2646274839694457,-0.2719384361968788,0.007310952227433108,0.0001999600079984003,502
reversed72_no_forward,no_phase_only,A_to_C_to_B,true_vs_shuffled_c,-0.2646274839694457,-0.2717272622272258,0.007099778257780126,0.0005998800239952009,502
reversed72_no_forward,no_phase_only,A_to_C_to_B,true_vs_phase_rotated,-0.2646274839694457,-0.27446527193869447,0.00983778796924873,0.0007998400319936012,502
reversed72_no_forward,no_phase_only,A_to_C_to_B,true_vs_random,-0.2646274839694457,-0.2772682300640829,0.01264074609463718,0.015396920615876825,502
reversed72_no_forward,no_phase_only,A_to_C_to_B,true_vs_performance_matched,-0.2646274839694457,-0.2726277629724984,0.008000279003052668,0.011397720455908818,502
reversed72_no_forward,no_phase_only,B_to_C_to_A,true_vs_balanced,-0.2673110390167661,-0.2730560366071341,0.0057449975903680565,0.0009998000399920016,502
reversed72_no_forward,no_phase_only,B_to_C_to_A,true_vs_shuffled_c,-0.2673110390167661,-0.27229372595119516,0.004982686934429077,0.014997000599880024,502
reversed72_no_forward,no_phase_only,B_to_C_to_A,true_vs_phase_rotated,-0.2673110390167661,-0.27325541064279807,0.005944371626031984,0.024795040991801638,502
reversed72_no_forward,no_phase_only,B_to_C_to_A,true_vs_random,-0.2673110390167661,-0.277614042340912,0.010303003324145965,0.030393921215756847,502
reversed72_no_forward,no_phase_only,B_to_C_to_A,true_vs_performance_matched,-0.2673110390167661,-0.2828118844543412,0.015500845437575142,0.0001999600079984003,502
reversed72_no_forward,no_suppress,A_to_C_to_B,true_vs_balanced,-0.2691170218931388,-0.27621143104609985,0.007094409152961085,0.0003999200159968006,502
reversed72_no_forward,no_suppress,A_to_C_to_B,true_vs_shuffled_c,-0.2691170218931388,-0.27669036411663983,0.007573342223500971,0.0001999600079984003,502
